
3,2 
3,3 
3,4 
3,5 
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
12,second,third
12,second,third
12,second,third
14,second,third
16,second,third
16,second,third
16,second,third
14,second,third
12,second,third
12,second,third
12,second,third
10,second,third
10,second,third
10,second,third
10,second,third
12,second,third
14,second,third
14,second,third
14,second,third
12,second,third
10,second,third
10,second,third
10,second,third
10,second,third
12,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
16,second,third
16,second,third
16,second,third
18,second,third
20,second,third
22,second,third
24,second,third
26,second,third
28,second,third
30,second,third
32,second,third
34,second,third
34,second,third
34,second,third
34,second,third
32,second,third
30,second,third
28,second,third
26,second,third
24,second,third
22,second,third
20,second,third
18,second,third
16,second,third
14,second,third
12,second,third
10,second,third
8,second,third
6,second,third
4,second,third
2,second,third
0,second,third
-2,second,third
-2,second,third
-2,second,third
-2,second,third
0,second,third
2,second,third
4,second,third
6,second,third
8,second,third
10,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
22,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
12,second,third
14,second,third
16,second,third
16,second,third
16,second,third
18,second,third
20,second,third
22,second,third
22,second,third
22,second,third
22,second,third
24,second,third
26,second,third
26,second,third
26,second,third
26,second,third
26,second,third
24,second,third
22,second,third
20,second,third
20,second,third
20,second,third
20,second,third
18,second,third
16,second,third
16,second,third
16,second,third
14,second,third
12,second,third
12,second,third
12,second,third
12,second,third
12,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
22,second,third
24,second,third
26,second,third
28,second,third
30,second,third
32,second,third
32,second,third
32,second,third
34,second,third
36,second,third
38,second,third
40,second,third
42,second,third
44,second,third
46,second,third
48,second,third
48,second,third
48,second,third
48,second,third
46,second,third
44,second,third
42,second,third
40,second,third
38,second,third
36,second,third
34,second,third
32,second,third
30,second,third
28,second,third
26,second,third
24,second,third
22,second,third
20,second,third
18,second,third
16,second,third
14,second,third
12,second,third
10,second,third
8,second,third
6,second,third
4,second,third
2,second,third
0,second,third
0,second,third
0,second,third
0,second,third
2,second,third
4,second,third
6,second,third
8,second,third
10,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
22,second,third
24,second,third
26,second,third
28,second,third
30,second,third
32,second,third
34,second,third
34,second,third
34,second,third
34,second,third
32,second,third
30,second,third
28,second,third
26,second,third
24,second,third
22,second,third
20,second,third
18,second,third
16,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
22,second,third
24,second,third
26,second,third
28,second,third
30,second,third
30,second,third
30,second,third
30,second,third
30,second,third
28,second,third
26,second,third
24,second,third
22,second,third
20,second,third
18,second,third
16,second,third
14,second,third
12,second,third
10,second,third
8,second,third
6,second,third
4,second,third
4,second,third
4,second,third
4,second,third
6,second,third
8,second,third
10,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
20,second,third
20,second,third
20,second,third
20,second,third
18,second,third
16,second,third
14,second,third
12,second,third
10,second,third
8,second,third
6,second,third
4,second,third
2,second,third
2,second,third
2,second,third
4,second,third
6,second,third
8,second,third
10,second,third
12,second,third
14,second,third
16,second,third
18,second,third
20,second,third
22,second,third
24,second,third
24,second,third
24,second,third
24,second,third
24,second,third
24,second,third
22,second,third
20,second,third
18,second,third
16,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
14,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
10,second,third
